name,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
lambda::lambda_capture,3172832,15952,5829,795631,10651,4611,469267,4630,3945
lambda::lambda_capture_free,2367000,11126,5785,590455,9319,4598,336473,3723,3208
lambda::lambda_closure_not_seven,3545128,14061,5781,907468,10740,4592,534732,4302,3578
lambda::lambda_compose,26848843,43101,5787,7179358,53608,4526,4365148,17713,6532
lambda::lambda_compose_many,21848834,27099,5731,5832270,44056,4516,3509165,14748,6256
lambda::lambda_fib,4226373536,123223,7381,1189591547,16495452,34747,658361973,1540232,254106
lambda::lambda_function_repeat,8658387996,364555,14284,2545538217,41239486,4529777,1473909298,6996207,3439933
lambda::lambda_if,5189612,25719,5664,1353670,13351,4516,826230,6013,3790
lambda::lambda_if_elim,2402216,10747,5544,606529,8931,4509,346804,3829,3299
lambda::lambda_if_simple,1779494,8276,5357,442483,8181,4499,242417,3478,3044
lambda::lambda_let_simple,2154324,10136,5503,540180,8586,4502,304863,3690,3203
lambda::lambda_under,1889548,9123,5507,471551,8366,4509,261290,3586,3123
math::diff_power_harder,19544925,16731,6064,5421666,43222,4565,3216960,17803,7995
math::diff_power_simple,5296588,13621,5921,1401054,14371,4561,834350,6386,4742
math::integ_one,2120979,9271,5662,532952,8836,4552,304291,3939,3446
math::integ_part1,9212948,12845,5913,2425234,24744,4560,1425226,10745,6775
math::integ_part2,36511512,14517,5946,9771085,128871,4567,5558027,40038,15880
math::integ_part3,4403208,12241,5879,1137844,12661,4560,670365,5778,4599
math::integ_sin,2148170,9282,5685,539777,8898,4553,308507,3946,3446
math::integ_x,2231172,9400,5724,562052,9217,4560,323460,4048,3492
math::math_associate_adds,47695368,10542,5122,13758302,148313,4547,8170254,47597,19557
math::math_diff_different,2151885,9279,5682,539750,9112,4547,308278,3980,3461
math::math_diff_ln,2182608,9431,5736,548604,9019,4551,314144,3974,3456
math::math_diff_same,2114573,9272,5683,530639,8818,4548,302506,3920,3434
math::math_diff_simple1,3744860,12038,5827,974492,11825,4553,573845,5141,4248
math::math_diff_simple2,3501578,11410,5904,905555,11117,4555,530111,5030,4220
math::math_powers,2295674,9430,5705,578025,9272,4559,333069,4120,3545
math::math_simplify_add,3235439,11365,5725,841997,10826,4558,494622,4623,3884
math::math_simplify_const,2502184,10308,5727,632033,9536,4546,365698,4238,3665
math::math_simplify_factor,8083000,13942,5860,2214888,17453,4555,1320786,7822,5424
math::math_simplify_root,10567035,15625,5998,2917012,21898,4561,1742082,9618,5919
prop::const_fold,1250423,4870,4016,305298,7449,4360,152324,2849,2494
prop::prove_chain,2013002,8814,4696,508955,7868,4375,283295,3394,2946
prop::prove_contrapositive,1519830,7283,4647,376336,7564,4375,198805,3055,2671
